batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,47,0,5.0,47.0,0.0,9.4,15.0,10,1,149
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,55,0,6.0,48.0,0.0,9.166666666666666,14.0,10,1,141
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,66,0,7.0,51.0,0.0,9.428571428571429,13.0,10,0,130
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,70,0,8.0,45.0,0.0,8.75,12.0,10,0,126
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,77,0,9.0,43.0,0.0,8.555555555555555,11.0,10,0,119
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,84,1,10.0,37.0,1.0,8.4,10.0,9,0,112
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,89,1,11.0,34.0,1.0,8.090909090909092,9.0,9,0,107
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,102,1,12.0,36.0,1.0,8.5,8.0,9,0,94
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,117,1,13.0,47.0,1.0,9.0,7.0,9,0,79
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,125,1,14.0,48.0,1.0,8.928571428571429,6.0,9,0,71
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,136,2,15.0,52.0,1.0,9.066666666666666,5.0,8,0,60
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,140,2,16.0,51.0,1.0,8.75,4.0,8,0,56
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,158,2,17.0,56.0,1.0,9.294117647058824,3.0,8,0,38
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,175,2,18.0,58.0,1.0,9.722222222222221,2.0,8,0,21
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,188,3,19.0,63.0,2.0,9.894736842105264,1.0,7,0,8
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",4,0,1.0,4.0,0.0,4.0,19.0,10,1,132
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",12,0,2.0,12.0,0.0,6.0,18.0,10,1,124
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",20,0,3.0,20.0,0.0,6.666666666666667,17.0,10,1,116
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",29,0,4.0,29.0,0.0,7.25,16.0,10,1,107
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",39,0,5.0,39.0,0.0,7.8,15.0,10,1,97
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",50,0,6.0,46.0,0.0,8.333333333333334,14.0,10,1,86
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",54,1,7.0,42.0,1.0,7.714285714285714,13.0,9,0,82
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",59,2,8.0,39.0,2.0,7.375,12.0,8,0,77
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",65,2,9.0,36.0,2.0,7.222222222222222,11.0,8,0,71
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",72,2,10.0,33.0,2.0,7.2,10.0,8,0,64
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",76,3,11.0,26.0,3.0,6.909090909090909,9.0,7,0,60
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",81,3,12.0,27.0,2.0,6.75,8.0,7,0,55
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",86,3,13.0,27.0,1.0,6.615384615384615,7.0,7,0,50
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",98,3,14.0,33.0,1.0,7.0,6.0,7,0,38
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",100,4,15.0,28.0,2.0,6.666666666666667,5.0,6,0,36
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",107,4,16.0,31.0,1.0,6.6875,4.0,6,0,29
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",112,4,17.0,31.0,1.0,6.588235294117647,3.0,6,0,24
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",119,4,18.0,33.0,1.0,6.611111111111111,2.0,6,0,17
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",125,7,19.0,27.0,4.0,6.578947368421052,1.0,3,0,11
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",2,0,1.0,2.0,0.0,2.0,19.0,10,1,161
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",8,0,2.0,8.0,0.0,4.0,18.0,10,1,155
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",18,0,3.0,18.0,0.0,6.0,17.0,10,1,145
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",22,1,4.0,22.0,1.0,5.5,16.0,9,1,141
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",30,1,5.0,30.0,1.0,6.0,15.0,9,1,133
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",39,1,6.0,37.0,1.0,6.5,14.0,9,1,124
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",54,1,7.0,46.0,1.0,7.714285714285714,13.0,9,0,109
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",60,1,8.0,42.0,1.0,7.5,12.0,9,0,103
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",68,1,9.0,46.0,0.0,7.555555555555555,11.0,9,0,95
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",86,1,10.0,56.0,0.0,8.6,10.0,9,0,77
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",96,2,11.0,57.0,1.0,8.727272727272727,9.0,8,0,67
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",100,2,12.0,46.0,1.0,8.333333333333334,8.0,8,0,63
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",108,2,13.0,48.0,1.0,8.307692307692308,7.0,8,0,55
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",119,2,14.0,51.0,1.0,8.5,6.0,8,0,44
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",124,2,15.0,38.0,1.0,8.266666666666667,5.0,8,0,39
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",129,4,16.0,33.0,2.0,8.0625,4.0,6,0,34
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",143,4,17.0,43.0,2.0,8.411764705882353,3.0,6,0,20
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",148,5,18.0,40.0,3.0,8.222222222222221,2.0,5,0,15
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",155,7,19.0,36.0,5.0,8.157894736842104,1.0,3,0,8
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,4,0,1.0,4.0,0.0,4.0,19.0,10,1,142
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,14,0,2.0,14.0,0.0,7.0,18.0,10,1,132
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,23,0,3.0,23.0,0.0,7.666666666666667,17.0,10,1,123
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,25,0,4.0,25.0,0.0,6.25,16.0,10,1,121
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,32,0,5.0,32.0,0.0,6.4,15.0,10,1,114
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,43,0,6.0,39.0,0.0,7.166666666666667,14.0,10,1,103
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,50,0,7.0,36.0,0.0,7.142857142857143,13.0,10,0,96
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,63,0,8.0,40.0,0.0,7.875,12.0,10,0,83
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,68,0,9.0,43.0,0.0,7.555555555555555,11.0,10,0,78
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,74,2,10.0,42.0,2.0,7.4,10.0,8,0,72
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,77,2,11.0,34.0,2.0,7.0,9.0,8,0,69
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,86,2,12.0,36.0,2.0,7.166666666666667,8.0,8,0,60
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,94,2,13.0,31.0,2.0,7.230769230769231,7.0,8,0,52
